"HH1","HH2","UF4","Index_Birth_Registered_R","Index_Disabled_Child_R","Index_Mother_Disabled_R","Birth_of_Child_not_wanted","Disability_Dummy_Ref","Religion_Belief_Dummy","Ethnic_Immigration_Dummy","Sex_Dummy","Sexual_Orientation_Dummy","Age_Dummy","Other_Reason_Dummy","level_of_education_mother_r","Mother_Health_Insurance","HouseHead_Religiosity_R","family_economic_status"
17,8,2,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,NA
17,9,8,1,NA,0,0,0,0,0,0,0,0,0,0,1,1,NA
17,9,8,1,NA,0,NA,0,0,0,0,0,0,1,0,1,1,NA
17,9,8,1,NA,0,NA,0,0,0,0,0,0,0,NA,1,1,NA
17,9,8,1,NA,0,NA,0,0,0,0,0,0,0,NA,NA,1,NA
17,9,7,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA
17,9,7,1,1,1,NA,0,0,0,0,0,0,1,0,1,1,NA
17,9,7,1,1,1,NA,0,0,0,0,0,0,0,NA,1,1,NA
17,9,7,1,1,1,NA,0,0,0,0,0,0,0,NA,NA,1,NA
18,11,3,1,NA,NA,0,0,0,0,0,0,0,0,0,1,1,NA
18,11,3,1,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,NA
18,14,2,1,NA,1,0,0,0,0,0,0,0,0,0,1,1,NA
18,2,4,1,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA
18,2,4,1,NA,1,NA,0,0,0,0,0,0,0,0,1,1,NA
18,2,4,1,NA,1,NA,0,0,0,0,0,0,0,0,1,1,NA
18,2,9,1,0,0,0,0,0,0,0,0,0,0,1,1,1,NA
18,2,9,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,NA
18,2,9,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,NA
18,2,4,1,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA
18,2,4,1,NA,1,NA,0,0,0,0,0,0,0,0,1,1,NA
18,2,4,1,NA,1,NA,0,0,0,0,0,0,0,0,1,1,NA
18,3,2,1,0,1,NA,0,0,0,0,0,0,0,NA,1,1,NA
18,6,4,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,NA
18,7,5,1,0,1,NA,0,0,1,0,0,0,1,0,1,1,NA
18,8,3,1,0,NA,NA,0,1,1,0,0,0,0,0,1,1,NA
18,8,3,1,0,NA,NA,0,0,0,0,0,0,0,0,1,1,NA
18,8,4,1,0,0,NA,0,1,1,0,0,0,0,0,1,1,NA
18,8,4,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,NA
19,11,5,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,NA
19,11,5,1,0,0,NA,0,0,0,0,0,0,0,1,1,1,NA
19,12,4,1,NA,0,0,0,0,0,0,0,0,0,0,1,1,NA
19,12,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,NA
19,13,5,1,0,1,NA,0,0,0,0,0,0,0,0,1,1,NA
19,13,5,1,0,1,NA,0,0,1,0,0,0,0,0,1,1,NA
19,19,5,1,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,NA
19,19,5,1,NA,NA,0,0,0,0,0,0,0,0,0,1,1,NA
19,3,9,1,NA,0,0,0,0,0,0,0,0,0,NA,1,1,NA
19,3,9,1,NA,0,0,0,0,0,0,0,0,0,0,1,1,NA
19,3,2,1,0,1,0,0,0,0,0,0,0,0,NA,1,1,NA
19,3,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,NA
19,3,2,1,0,1,0,0,0,0,0,0,0,0,NA,1,1,NA
19,3,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,NA
19,3,2,1,NA,1,0,0,0,0,0,0,0,0,NA,1,1,NA
19,3,2,1,NA,1,0,0,0,0,0,0,0,0,0,1,1,NA
19,6,2,1,NA,NA,0,0,0,0,0,0,0,0,0,1,1,NA
19,7,2,1,NA,0,0,0,0,0,0,0,0,0,NA,1,1,NA
19,8,4,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,NA
2,10,3,1,0,0,NA,0,0,0,0,0,0,0,1,1,1,0
2,10,3,1,0,0,NA,0,0,0,0,0,0,0,1,1,1,0
20,16,4,1,1,0,NA,0,1,1,0,0,0,0,0,1,1,NA
20,16,4,1,1,0,0,0,0,1,0,0,0,0,1,1,1,NA
20,16,4,1,NA,0,NA,0,1,1,0,0,0,0,0,1,1,NA
20,16,4,1,NA,0,0,0,0,1,0,0,0,0,1,1,1,NA
20,18,5,1,NA,0,NA,0,0,0,0,0,0,0,0,1,1,NA
20,18,5,1,NA,0,NA,0,0,0,0,0,0,0,NA,NA,1,NA
20,18,5,1,NA,0,0,0,0,0,0,0,0,0,0,1,1,NA
20,19,3,1,0,1,NA,0,0,0,0,0,0,0,0,1,1,NA
20,2,4,1,0,0,NA,0,1,0,0,0,0,0,0,1,1,NA
20,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,NA
20,2,4,1,NA,0,NA,0,1,0,0,0,0,0,0,1,1,NA
20,2,4,1,NA,0,0,0,0,0,0,0,0,0,0,1,1,NA
20,3,8,1,NA,0,0,0,0,0,0,0,0,0,1,1,1,NA
20,3,8,1,NA,0,NA,0,0,0,0,0,0,0,0,1,1,NA
21,10,4,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,1
21,10,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
